City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Santa Maria,BR,85.3,clear sky,-29.6842,-53.8069,Hotel Morotin
468,Coahuayana,MX,85.41,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
469,Lasem,ID,77.56,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Restaurant & Community Center"
472,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
476,Tecoanapa,MX,84.36,scattered clouds,16.5167,-98.75,Hotel Manglares
484,Iberia,US,89.98,broken clouds,29.9502,-91.7507,back to back rv park
485,Oriximina,BR,87.98,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
486,Rio Grande,BR,84.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
491,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
494,Tevaitoa,PF,77.77,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
496,Bima,ID,76.55,overcast clouds,-8.4667,118.7167,Lambitu Hotel
498,Adrar,MR,85.46,broken clouds,20.5022,-10.0711,
502,Mormugao,IN,77.72,light rain,15.4,73.8,Coconut Creek Resort
505,Itarema,BR,80.35,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
507,Gusau,NG,82.47,few clouds,12.1628,6.6614,GUEST INN
510,Gogrial,SS,81.86,overcast clouds,8.5332,28.1004,
513,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
514,Ugoofaaru,MV,81.54,moderate rain,5.6667,73.0,Ungoofaaru Inn
515,Namatanai,PG,80.65,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
520,Salvador,SV,79.7,scattered clouds,13.8333,-88.9167,Chico's Ranch
521,Samana,DO,80.56,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
523,Umm Kaddadah,SD,84.88,overcast clouds,13.6017,26.6876,
526,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
527,Orange Walk,BZ,89.46,broken clouds,17.8333,-88.8333,
529,Cururupu,BR,80.62,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
533,Carutapera,BR,81.66,few clouds,-1.195,-46.02,Lidera
534,Tual,ID,83.01,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
535,Saint-Louis,SN,88.43,broken clouds,16.3333,-15.0,
